Text,Label
"I'm feeling placid about this",calm
"I'm so pleased lately",happy
"I'm thrilled about this about this",excited
"I'm okay with this right now",neutral
"I'm livid right now",angry
"This angers me about this",angry
"This is so frustrating! right now",frustrated
"This is infuriating today",angry
"This makes me nervous today",anxious
"I'm fed up today",frustrated
"I'm getting frustrated lately",frustrated
"This makes me sad today",sad
"This is so irritating right now",frustrated
"I'm ecstatic lately",excited
"I'm feeling frustrated about this",frustrated
"I'm feeling uneasy",anxious
"I'm pumped! today",excited
"I'm losing patience today",frustrated
"I'm fed up right now",frustrated
"Everything is normal right now",neutral
"I'm exhilarated today",excited
"Nothing special right now",neutral
"I'm so stoked about this",excited
"I'm worried sick lately",anxious
"I'm so angry! about this",angry
"This is amazing!",happy
"I'm thrilled about this today",excited
"This is infuriating right now",angry
"I'm feeling peaceful lately",calm
"This is so irritating right now",angry
"I'm okay with this",neutral
"This is exasperating today",frustrated
"I feel balanced today",calm
"This is awesome! today",excited
"I'm so pleased lately",happy
"I feel balanced about this",calm
"I'm feeling anxious about this",anxious
"I feel calm right now",calm
"I feel fantastic! about this",happy
"I'm panicking right now",anxious
"I'm feeling steady lately",calm
"I'm feeling sad right now",sad
"I'm feeling great! about this",happy
"I'm feeling blue lately",sad
"I'm really anxious right now",anxious
"I'm amped up lately",excited
"I'm stressed out lately",anxious
"I'm feeling blue lately",sad
"I'm at peace",calm
"I'm frustrated today",angry
"I'm feeling wonderful about this",happy
"I'm furious about this about this",angry
"This angers me right now",angry
"I'm alright",neutral
"I'm feeling uneasy",anxious
"This is exciting!",excited
"I'm so pleased about this",happy
"I feel relaxed and calm",calm
"I feel empty inside today",sad
"I'm depressed lately",sad
"I'm so pleased about this",happy
"I'm so angry! lately",angry
"This is so irritating lately",angry
"I feel at ease right now",calm
"This is exasperating about this",frustrated
"I'm feeling mellow",calm
"I feel composed",calm
"I'm livid today",angry
"I'm doing okay lately",neutral
"I'm seething right now",angry
"I'm getting frustrated today",frustrated
"I'm furious about this",angry
"I feel awful lately",sad
"I'm feeling gloomy",sad
"This is maddening about this",frustrated
"I feel balanced about this",calm
"This is so annoying",frustrated
"I feel joyful right now",happy
"This is maddening today",frustrated
"This makes me nervous about this",anxious
"This is maddening",frustrated
"I'm so excited! lately",excited
"I'm thrilled about this",excited
"I'm really worried lately",anxious
"I'm elated right now",excited
"I'm really excited lately",excited
"I'm frustrated right now",angry
"I'm okay today",neutral
"I'm okay with this",neutral
"I'm really excited today",excited
"I'm elated",excited
"I'm so angry! right now",angry
"I'm indifferent lately",neutral
"Nothing much lately",neutral
"What a wonderful day!",happy
"I'm concerned lately",anxious
"I'm feeling serene",calm
"I'm buzzing with excitement about this",excited
"I'm relaxed about this",calm
"I'm feeling uneasy",anxious
"I'm depressed right now",sad
"I'm seething",angry
"I'm feeling mellow about this",calm
"I'm at peace",calm
"This is infuriating",angry
"I'm furious about this today",angry
"This is maddening about this",frustrated
"This is exasperating lately",frustrated
"This is exasperating right now",frustrated
"I'm buzzing with excitement right now",excited
"I'm really frustrated today",frustrated
"I feel fantastic! about this",happy
"I'm feeling mellow today",calm
"I'm feeling quiet lately",calm
"I'm losing patience about this",frustrated
"I feel at ease about this",calm
"I feel empty inside right now",sad
"I'm frustrated lately",angry
"I'm nervous about this",anxious
"Nothing special about this",neutral
"I'm really worried today",anxious
"I'm pumped! right now",excited
"This is exciting! about this",excited
"This is so irritating lately",frustrated
"I'm fuming lately",angry
"I'm feeling frustrated lately",frustrated
"I'm furious about this today",angry
"I'm feeling tense lately",anxious
"I'm feeling placid",calm
"I'm frustrated lately",frustrated
"I'm really upset today",angry
"I feel hopeless right now",sad
"I feel composed today",calm
"I'm upset today",sad
"What a wonderful day! today",happy
"I'm feeling anxious right now",anxious
"This is maddening right now",frustrated
"I'm delighted lately",happy
"This brings me joy lately",happy
"I'm so happy today!",happy
"I feel joyful today",happy
"This brings me joy lately",happy
"I'm so stoked right now",excited
"I'm at peace",calm
"I'm frustrated today",angry
"I feel normal today",neutral
"I'm feeling low",sad
"This is so irritating lately",frustrated
"I feel miserable",sad
"I'm so excited! about this",excited
"I'm feeling worried right now",anxious
"This brings me joy today",happy
"I'm feeling great! right now",happy
"I'm pumped!",excited
"I'm annoyed today",angry
"I'm fed up right now",frustrated
"This gives me anxiety lately",anxious
"Everything is fine today",neutral
"I'm really worried",anxious
"This is infuriating right now",angry
"I'm really annoyed lately",frustrated
"I'm feeling worried",anxious
"I'm feeling gloomy right now",sad
"I'm furious about this lately",angry
"I'm feeling okay lately",neutral
"I feel miserable today",sad
"This is so frustrating! today",frustrated
"I'm ecstatic lately",excited
"I'm ecstatic lately",happy
"I'm amped up lately",excited
"This makes me sad",sad
"I'm on cloud nine today",happy
"This gives me anxiety today",anxious
"I'm feeling peaceful right now",calm
"I'm frustrated right now",angry
"I'm getting frustrated lately",frustrated
"I'm alright about this",neutral
"I'm getting frustrated about this",frustrated
"I'm so angry! right now",angry
"What a wonderful day! about this",happy
"I'm feeling uneasy lately",anxious
"I'm frustrated lately",frustrated
"I have anxiety today",anxious
"Everything is normal right now",neutral
"I'm feeling mellow right now",calm
"I'm alright",neutral
"I'm feeling gloomy about this",sad
"I'm okay",neutral
"I'm okay with this right now",neutral
"I'm depressed lately",sad
"What a wonderful day! today",happy
"I'm so angry! today",angry
"I'm buzzing with excitement right now",excited
"I'm stressed out",anxious
"I'm nervous about this about this",anxious
"I'm irritated",angry
"This is so irritating about this",frustrated
"This is so irritating right now",frustrated
"I'm concerned right now",anxious
"I'm indifferent about this",neutral
"I can't wait!",excited
"I'm really worried lately",anxious
"I feel fantastic! about this",happy
"I'm exhilarated today",excited
"I'm alright",neutral
"Everything is fine",neutral
"I'm exhilarated right now",excited
"I feel terrible about this",sad
"I feel terrible about this",sad
"I feel at ease right now",calm
"I feel miserable today",sad
"I'm on cloud nine today",happy
"I feel terrible",sad
"I'm exhilarated",excited
"I'm really anxious about this",anxious
"I'm really excited about this",excited
"I'm depressed about this",sad
"I'm thrilled about this lately",excited
"I'm overjoyed right now",happy
"I'm doing alright right now",neutral
"I'm really upset right now",angry
"I feel average about this",neutral
"I'm feeling low right now",sad
"I'm feeling frustrated",frustrated
"I'm seething today",angry
"I'm exhilarated",excited
"This is so disappointing lately",sad
"I'm fuming right now",angry
"I'm depressed lately",sad
"I feel at ease today",calm
"Nothing much today",neutral
"This is so irritating lately",frustrated
"I'm fuming today",angry
"I'm depressed right now",sad
"This is heartbreaking about this",sad
"Nothing special lately",neutral
"I'm feeling zen about this",calm
"I'm fuming right now",angry
"I have anxiety today",anxious
"This is so frustrating!",frustrated
"This is so irritating today",frustrated
"This makes me nervous right now",anxious
"I feel average right now",neutral
"I'm so excited! today",excited
"I can't wait! lately",excited
"I feel normal right now",neutral
"I'm thrilled! right now",happy
"I'm losing patience today",frustrated
"I'm nervous about this",anxious
"I'm indifferent about this",neutral
"This makes me rage",angry
"I'm feeling great! about this",happy
"This is so irritating about this",frustrated
"Nothing special",neutral
"This makes me sad lately",sad
"I'm irritated about this",angry
"I'm feeling placid today",calm
"I'm nervous about this lately",anxious
"I'm irritated",angry
"I'm feeling great! about this",happy
"This is amazing! right now",happy
"This is so frustrating! about this",frustrated
"This is exasperating",frustrated
"I feel balanced about this",calm
"This is so irritating lately",frustrated
"I can't wait! lately",excited
"I feel tranquil today",calm
"I'm feeling blue lately",sad
"I'm feeling blue today",sad
"I feel joyful",happy
"I'm thrilled about this lately",excited
"This is thrilling! right now",excited
"I feel at ease right now",calm
"I'm feeling wonderful today",happy
"I'm seething right now",angry
"This angers me lately",angry
"I'm feeling low lately",sad
"I'm worried sick lately",anxious
"I'm feeling uneasy lately",anxious
"I'm mad about this today",angry
"I can't wait! today",excited
"I'm really excited lately",excited
"I'm buzzing with excitement today",excited
"I'm feeling uneasy lately",anxious
"I'm ecstatic today",excited
"This makes me nervous lately",anxious
"This makes me sad lately",sad
"This is amazing! today",happy
"I'm feeling serene about this",calm
"I'm feeling great! lately",happy
"I'm concerned right now",anxious
"I'm feeling placid",calm
"I'm furious about this today",angry
"I feel tranquil right now",calm
"I'm pumped! right now",excited
"I'm getting frustrated",frustrated
"I'm feeling frustrated today",frustrated
"This is infuriating",angry
"I'm feeling frustrated lately",frustrated
"I'm so angry! right now",angry
"This makes me furious today",angry
"I'm overjoyed about this",happy
"I'm fed up today",frustrated
"I'm elated lately",excited
"I'm feeling mellow lately",calm
"This makes me happy",happy
"I'm feeling anxious lately",anxious
"I'm feeling serene about this",calm
"I'm so stoked about this",excited
"I feel tranquil today",calm
"This makes me furious lately",angry
"I'm so pleased right now",happy
"This makes me happy lately",happy
"I'm nervous about this today",anxious
"I'm feeling serene about this",calm
"I'm okay with this lately",neutral
"I'm panicking",anxious
"I'm at peace right now",calm
"I feel balanced lately",calm
"I feel joyful right now",happy
"I'm feeling uneasy about this",anxious
"This irritates me lately",frustrated
"I'm really upset about this",angry
"This is awesome! today",excited
"I feel relaxed and calm about this",calm
"I feel joyful",happy
"I'm stressed out about this",anxious
"I'm so happy today! right now",happy
"This is so frustrating!",frustrated
"I'm doing okay",neutral
"This is exciting! about this",excited
"This is awesome!",excited
"Everything is fine about this",neutral
"I'm relaxed about this",calm
"I'm frustrated",angry
"I feel at ease today",calm
"This makes me nervous",anxious
"I'm thrilled about this right now",excited
"I'm feeling okay about this",neutral
"I'm really upset",angry
"I'm so hyped lately",excited
"I'm pumped!",excited
"I feel relaxed and calm",calm
"Nothing special right now",neutral
"I'm really worried right now",anxious
"I'm elated today",excited
"This is so frustrating! today",frustrated
"I'm feeling okay right now",neutral
"I feel relaxed and calm about this",calm
"I feel fine about this",neutral
"I'm upset about this",sad
"I'm frustrated right now",angry
"I'm buzzing with excitement today",excited
"This is so irritating",frustrated
"I'm amped up about this",excited
"I'm so excited! right now",excited
"This is amazing! about this",happy
"This is awesome! right now",excited
"I feel awful lately",sad
"I feel balanced right now",calm
"What a wonderful day!",happy
"I'm feeling quiet lately",calm
"I'm feeling quiet",calm
"I'm okay today",neutral
"I have anxiety lately",anxious
"I'm losing patience today",frustrated
"Everything is fine lately",neutral
"I'm mad about this about this",angry
"I'm feeling peaceful lately",calm
"I'm on cloud nine today",happy
"I'm relaxed about this",calm
"I feel down lately",sad
"I'm indifferent about this",neutral
"I feel fine right now",neutral
"I'm stressed out today",anxious
"What a wonderful day! about this",happy
"I feel empty inside today",sad
"I'm so stoked lately",excited
"This brings me joy today",happy
"This makes me nervous today",anxious
"I'm thrilled about this lately",excited
"I'm frustrated right now",angry
"This makes me nervous right now",anxious
"This is so irritating",frustrated
"This is so frustrating!",frustrated
"I feel fine",neutral
"I'm really upset right now",angry
"I'm fuming today",angry
"I'm feeling serene",calm
"This makes me furious lately",angry
"I'm exhilarated lately",excited
"This is infuriating right now",angry
"I'm annoyed lately",angry
"I feel calm today",calm
"I'm fuming",angry
"This is heartbreaking right now",sad
"I have anxiety today",anxious
"This is exciting! today",excited
"I'm feeling steady lately",calm
"I'm so angry! right now",angry
"This makes me nervous lately",anxious
"I'm really frustrated lately",frustrated
"I'm really anxious today",anxious
"I'm fuming today",angry
"I'm feeling serene about this",calm
"I'm indifferent lately",neutral
"I'm getting frustrated right now",frustrated
"I'm upset",sad
"I feel awful",sad
"I feel awful lately",sad
"I'm alright lately",neutral
"This is so irritating about this",frustrated
"I feel joyful today",happy
"This is heartbreaking right now",sad
"I'm exhilarated",excited
"I feel neutral right now",neutral
"I'm pumped! right now",excited
"I'm seething today",angry
"This is exciting! lately",excited
"I'm feeling frustrated lately",frustrated
"I'm feeling great! lately",happy
"I'm furious about this",angry
"I feel miserable today",sad
"I feel calm about this",calm
"I'm relaxed right now",calm
"I feel awful today",sad
"I'm really anxious lately",anxious
"This makes me nervous today",anxious
"This angers me right now",angry
"I'm nervous about this",anxious
"I'm upset today",sad
"I'm annoyed lately",angry
"I'm upset about this",sad
"I'm at peace right now",calm
"I'm fed up today",frustrated
"I'm buzzing with excitement today",excited
"I'm feeling peaceful lately",calm
"I'm seething today",angry
"I'm feeling quiet",calm
"I feel tranquil",calm
"I'm feeling blue",sad
"I'm worried sick right now",anxious
"I'm feeling quiet",calm
"I'm really annoyed",frustrated
"I'm feeling blue today",sad
"I'm feeling great! today",happy
"I'm elated right now",excited
"I feel down",sad
"I feel hopeless today",sad
"I'm panicking lately",anxious
"I'm really excited lately",excited
"This makes me nervous",anxious
"I feel joyful",happy
"I'm okay with this about this",neutral
"Everything is fine",neutral
"This is so annoying right now",frustrated
"I feel at ease right now",calm
"I'm feeling great!",happy
"I'm so angry!",angry
"I'm feeling quiet about this",calm
"This is so annoying",frustrated
"I feel hopeless",sad
"I'm fed up today",frustrated
"This is annoying today",frustrated
"I have anxiety today",anxious
"This is exciting! about this",excited
"This is so frustrating! lately",frustrated
"I'm so excited! right now",excited
"I feel at ease right now",calm
"I'm fuming today",angry
"This is so frustrating! lately",frustrated
"I'm okay with this right now",neutral
"Everything is normal",neutral
"I'm okay with this right now",neutral
"I'm so excited! lately",excited
"I feel relaxed and calm lately",calm
"I'm overjoyed",happy
"This is exciting! right now",excited
"I'm feeling wonderful",happy
"Everything is normal",neutral
"I'm overjoyed right now",happy
"This is infuriating about this",angry
"I feel awful about this",sad
"I'm panicking lately",anxious
"This is so frustrating! today",frustrated
"I'm feeling zen lately",calm
"I'm feeling placid lately",calm
"This is exasperating about this",frustrated
"I'm really annoyed lately",frustrated
"I'm exhilarated right now",excited
"This is so annoying lately",frustrated
"I feel fine about this",neutral
"I'm feeling anxious right now",anxious
"I feel relaxed and calm today",calm
"I'm feeling steady right now",calm
"I feel relaxed and calm lately",calm
"I'm fuming lately",angry
"I'm relaxed",calm
"I feel hopeless lately",sad
"This is awesome!",excited
"I'm fuming lately",angry
"I'm so happy today!",happy
"This gives me anxiety right now",anxious
"This is so irritating today",frustrated
"I'm feeling great! about this",happy
"I'm thrilled! right now",happy
"I'm feeling frustrated right now",frustrated
"This is maddening right now",frustrated
"I'm feeling frustrated today",frustrated
"This is so disappointing today",sad
"I'm ecstatic lately",excited
"This makes me happy",happy
"Everything is normal right now",neutral
"I have anxiety lately",anxious
"I'm getting frustrated about this",frustrated
"I'm feeling peaceful today",calm
"I'm feeling uneasy lately",anxious
"I'm amped up",excited
"I'm really annoyed lately",frustrated
"I'm feeling wonderful about this",happy
"I feel anxious about this",anxious
"I'm elated about this",excited
"I'm so hyped today",excited
"I feel balanced about this",calm
"I'm feeling gloomy right now",sad
"I'm furious about this",angry
"I'm feeling anxious about this",anxious
"I'm feeling frustrated right now",frustrated
"I feel average lately",neutral
"I'm delighted about this",happy
"I'm alright about this",neutral
"I'm alright right now",neutral
"I'm really anxious lately",anxious
"This is amazing! today",happy
"This is so irritating right now",frustrated
"I'm fuming about this",angry
"I'm mad about this",angry
"This is so irritating lately",angry
"I feel neutral today",neutral
"I'm so angry! right now",angry
"I'm indifferent about this",neutral
"Nothing special lately",neutral
"I'm feeling gloomy lately",sad
"I'm indifferent about this",neutral
"This is amazing! about this",happy
"This is exasperating",frustrated
"I'm pumped! today",excited
"I'm feeling uneasy right now",anxious
"This angers me right now",angry
"I'm so happy today! about this",happy
"This makes me sad lately",sad
"This is annoying",frustrated
"I'm feeling sad today",sad
"I'm feeling uneasy",anxious
"I'm indifferent",neutral
"I'm stressed out today",anxious
"I'm feeling uneasy today",anxious
"This makes me nervous about this",anxious
"I'm feeling tense",anxious
"I'm indifferent lately",neutral
"I feel empty inside",sad
"This angers me lately",angry
"I have anxiety",anxious
"I'm delighted about this",happy
"This makes me happy",happy
"I feel hopeless lately",sad
"Everything is normal",neutral
"This is exasperating about this",frustrated
"I'm feeling zen",calm
"I feel fantastic! right now",happy
"I feel down about this",sad
"This is so irritating",frustrated
"I have anxiety lately",anxious
"I'm feeling worried",anxious
"I'm livid today",angry
"I'm feeling tense right now",anxious
"I'm so stoked today",excited
"This makes me rage lately",angry
"I'm upset right now",sad
"This is so frustrating! about this",frustrated
"I'm panicking right now",anxious
"This is amazing! about this",happy
"I'm stressed out lately",anxious
"I'm feeling worried about this",anxious
"I'm feeling placid lately",calm
"Nothing special about this",neutral
"I'm feeling tense",anxious
"I'm feeling serene about this",calm
"I feel hopeless about this",sad
"This is so annoying about this",frustrated
"I'm fed up lately",frustrated
"I'm feeling anxious right now",anxious
"I'm frustrated",angry
"I'm getting frustrated lately",frustrated
"This irritates me lately",frustrated
"I'm feeling mellow right now",calm
"I'm really upset about this",angry
"I feel neutral about this",neutral
"I'm delighted right now",happy
"I'm thrilled! today",happy
"I'm feeling peaceful lately",calm
"I'm really annoyed",frustrated
"I'm exhilarated about this",excited
"I'm fed up about this",frustrated
"This gives me anxiety today",anxious
"I'm overjoyed lately",happy
"This makes me sad about this",sad
"I feel normal today",neutral
"What a wonderful day! today",happy
"This is thrilling! right now",excited
"I'm ecstatic about this",excited
"I'm amped up lately",excited
"I feel down about this",sad
"I'm alright right now",neutral
"I feel anxious",anxious
"I'm feeling tense right now",anxious
"I feel joyful",happy
"I'm feeling serene today",calm
"I feel miserable",sad
"I feel composed today",calm
"I'm feeling frustrated",frustrated
"I'm really excited about this",excited
"I have anxiety lately",anxious
"I'm feeling okay lately",neutral
"This is so irritating about this",angry
"I feel normal today",neutral
"This is amazing!",happy
"I'm elated about this",excited
"Nothing special lately",neutral
"I'm feeling placid today",calm
"I'm depressed lately",sad
"I'm okay right now",neutral
"I'm annoyed today",angry
"I'm furious about this lately",angry
"I'm okay right now",neutral
"I'm nervous about this about this",anxious
"This makes me rage about this",angry
"I'm on cloud nine today",happy
"I'm really worried",anxious
"I feel anxious lately",anxious
"I'm okay with this lately",neutral
"I feel joyful today",happy
"This makes me sad right now",sad
"I'm so pleased",happy
"This makes me rage right now",angry
"I feel miserable about this",sad
"I'm feeling steady about this",calm
"I'm ecstatic right now",excited
"I can't wait! today",excited
"I'm upset lately",sad
"I can't wait! about this",excited
"This brings me joy",happy
"I feel down about this",sad
"I feel composed lately",calm
"I'm delighted about this",happy
"I'm feeling gloomy lately",sad
"I'm feeling mellow right now",calm
"I'm stressed out today",anxious
"I'm buzzing with excitement today",excited
"I'm doing alright lately",neutral
"I'm fuming",angry
"I'm worried sick lately",anxious
"I'm nervous about this today",anxious
"This is awesome!",excited
"I'm feeling great! today",happy
"I'm feeling frustrated lately",frustrated
"I feel neutral lately",neutral
"I feel composed",calm
"I'm feeling worried about this",anxious
"I feel anxious",anxious
"I'm alright today",neutral
"I'm getting frustrated",frustrated
"I'm really annoyed about this",frustrated
"I feel normal today",neutral
"This brings me joy lately",happy
"This is so irritating today",angry
"I'm thrilled! about this",happy
"I'm so angry! lately",angry
"I'm so happy today!",happy
"I have anxiety",anxious
"I'm so excited! today",excited
"I'm feeling okay today",neutral
"I'm really excited today",excited
"I feel tranquil right now",calm
"I'm feeling great! about this",happy
"This makes me happy right now",happy
"Nothing special lately",neutral
"I feel miserable today",sad
"I'm so stoked today",excited
"This brings me joy today",happy
"I'm fuming right now",angry
"Everything is normal lately",neutral
"This makes me nervous",anxious
"I'm stressed out",anxious
"This is annoying right now",frustrated
"I'm feeling okay",neutral
"This makes me rage lately",angry
"I'm so pleased",happy
"I'm feeling great! about this",happy
"I'm upset about this",sad
"I'm feeling tense",anxious
"I'm feeling uneasy right now",anxious
"This is so annoying right now",frustrated
"I'm feeling blue lately",sad
"This makes me furious",angry
"This angers me",angry
"This irritates me about this",frustrated
"This is awesome! today",excited
"I feel at ease lately",calm
"I'm frustrated right now",angry
"I'm irritated about this",angry
"I'm panicking right now",anxious
"I'm really excited today",excited
"This is so irritating about this",frustrated
"I'm frustrated",frustrated
"I'm really upset right now",angry
"I feel down lately",sad
"I'm frustrated about this",frustrated
"I'm fuming today",angry
"This is amazing!",happy
"I'm irritated lately",angry
"I'm feeling frustrated lately",frustrated
"I'm exhilarated today",excited
"I feel anxious today",anxious
"I feel balanced about this",calm
"I feel terrible about this",sad
"I'm really excited today",excited
"I'm feeling great! lately",happy
"This makes me nervous about this",anxious
"This gives me anxiety about this",anxious
"I'm overjoyed lately",happy
"I feel calm about this",calm
"This brings me joy",happy
"This is annoying",frustrated
"Nothing special right now",neutral
"I'm irritated about this",angry
"I'm really annoyed today",frustrated
"I'm really annoyed lately",frustrated
"I'm really anxious about this",anxious
"I'm feeling frustrated today",frustrated
"I feel relaxed and calm today",calm
"I'm upset about this",sad
"I feel tranquil right now",calm
"I'm really annoyed lately",frustrated
"I feel neutral",neutral
"I'm fuming today",angry
"I feel anxious lately",anxious
"I'm frustrated about this",frustrated
